state,county,tract,czname,par_rank_pooled_pooled_mean,par_rank_black_pooled_mean,kid_black_pooled_blw_p50_n,kid_pooled_pooled_blw_p50_n,poor_share2010,share_black2010,hhinc_mean2000,ln_wage_growth_hs_grad,frac_coll_plus2010,log_kid_black_pooled_blw_p50_n,log_kid_pooled_pooled_blw_p50_n,kfr_pooled_pooled_p25,kfr_pooled_pooled_p25_se,kfr_black_pooled_p25,kfr_black_pooled_p25_se,kfr_white_pooled_p25,kfr_white_pooled_p25_se,kfr_top20_pooled_pooled_p25,kfr_top20_pooled_pooled_p25_se,kfr_top20_black_pooled_p25,kfr_top20_black_pooled_p25_se,kfr_top20_white_pooled_p25,kfr_top20_white_pooled_p25_se,jail_pooled_pooled_p25,jail_pooled_pooled_p25_se,jail_black_pooled_p25,jail_black_pooled_p25_se,jail_white_pooled_p25,jail_white_pooled_p25_se
4,13,61100,Phoenix,0.49846071,0.46446136,124.51469,805.1344,0.006631928,0.15221187,57956.438,-0.46262935,0.060959794,4.824423700912129,6.691009220004614,0.4242534176160277,0.014455121,0.30286482628221983,0.032640848,0.4258387569083739,0.020321578,0.07873019584117406,0.017232765,0.056567493901122576,0.040860847,0.0770961222030239,0.025356645,0.010217769292903717,0.0050676004,0.024206634098946626,0.013214098,0.011922998545870341,0.0097344583
4,13,61200,Phoenix,0.38039851,0.36667514,72.495712,1442.7648,0.3856197,0.06607785,54303.91,-0.1446705,0.08554745,4.283527415283919,7.27431655172595,0.414280433832539,0.0095812501,0.27181659070585773,0.032839455,0.4805844414909558,0.019952293,0.1007828258604126,0.010851001,0.0324483552969767,0.016754704,0.07146375398585401,0.024159832,0.019046182604588676,0.0078240754,0.08420917527145631,0.067507297,0.025612509943463452,0.015797028
4,13,71512,Phoenix,0.64643639,0.56874526,20.067909,522.73126,0.034096446,0.034645934,108630.39,0.1385237,0.32490322,2.9991219720293056,6.259067488790021,0.4592893400917793,0.017742909,0.43828637569084505,0.072508603,0.4738597248520454,0.021383109,0.14791288813461287,0.023401618,0.0980425700429843,0.074300282,0.17264353028991514,0.027379632,0.0031602127010841355,0.0043857074,0.023742207823223543,0.031279959,0.0030979725544688355,0.0061057676
4,13,71903,Phoenix,0.58674848,0.56292027,20.42791,631.18561,0.104205035,0.03504599,78681.35,0.07904374,0.120756544,3.01690210305805,6.447599971426416,0.44822731972498175,0.014729072,0.38152656585035344,0.069095746,0.47709324746154763,0.019160237,0.1253449264010802,0.018974759,0.10785301425834577,0.083528616,0.1762159045033542,0.024263389,0.01358617808889937,0.0093321558,0.08592428363372033,0.074965559,0.01039691941405784,0.0087727364
4,13,71906,Phoenix,0.49728912,0.46922582,32.24543,871.17798,0.13878676,0.052097663,79426.05,0.029261867,0.12581283,3.4733763277742624,6.769846295817227,0.41984139320447705,0.013722241,0.37350786279300324,0.069726244,0.41857814994144354,0.021314383,0.13029310198262717,0.016813803,0.050176911045860174,0.037274688,0.09914327770023079,0.025768975,0.018661683221476245,0.010596811,0.08920098572224575,0.07504829,0.011174699298933697,0.0079779038
4,13,71909,Phoenix,0.51933992,0.43218365,36.828175,450.76636,0.11219376,0.046352383,63605.91,0.17893927,0.1346856,3.6062631772335774,6.11094915648856,0.4414432889874404,0.023816794,0.3564809826440422,0.058410533,0.440707817318687,0.030900655,0.12331374065855141,0.031078555,0.041696842035566,0.035890676,0.07298039509793347,0.041639406,0.030764174982057923,0.018015599,0.16105240140479682,0.10857915,0.01483400379920486,0.012106245
4,13,71910,Phoenix,0.53168416,0.49548891,41.626099,940.6546,0.10149254,0.04792538,74984.72,-0.4646053,0.109113,3.728727350354473,6.8465760158806575,0.4343843789103297,0.012825013,0.38536824274133047,0.041712169,0.43375445389915845,0.01940476,0.0945029045181035,0.014715058,0.053151026775894956,0.033481378,0.11270420976370368,0.024458351,0.01511673452812385,0.0095995544,0.04626425114182645,0.052506138,0.00801344898675424,0.0053771073
4,13,71911,Phoenix,0.56416762,0.55562818,10.938147,321.86597,0.11527905,0.08925673,91411.08,0.06837573,0.19344263,2.3922564042199013,5.774135216655537,0.4457334293663965,0.019809566,0.38083299536367676,0.07005652,0.47967699931314667,0.03187168,0.13677480747385445,0.026029678,0.12864450767815533,0.096937127,0.16372200994428163,0.042532742,0.010369938642095893,0.0075509446,0.027692973176314386,0.040308997,0.014375586313648067,0.013656939
4,13,82002,Phoenix,0.52887255,0.508775,45.048912,736.56396,0.118669316,0.0895471,83975.42,0.124846935,0.16119988,3.807748832819312,6.6019960753092235,0.42971862219480034,0.014379148,0.3076234576348473,0.047288299,0.44078484154944314,0.020042978,0.11405140670861827,0.016944287,-0.0377211551976665,0.057043467,0.1107144513924154,0.02526403,0.01172604822113851,0.0066502332,0.03485445597580574,0.032686166,0.017180870989988946,0.013988622
4,13,82007,Phoenix,0.46915433,0.36881182,63.567432,790.22382,0.122861214,0.051263183,76529.93,0.22450922,0.06969826,4.152101263718958,6.672316221790235,0.428456960378244,0.012886118,0.2804657469291699,0.035137698,0.48394195040683274,0.022921497,0.1029562169485525,0.014555975,0.03610820460339101,0.024864409,0.15065019073075248,0.029801872,0.017664041112691674,0.0089123147,0.04462969868104211,0.029476309,0.02601332909199994,0.021696312
