"","firm_id","est","se","ttest_p","ttest_p_greater","ttest_p_less","t_stat","post_mean_u","post_mean_beta","lower_ci_u","upper_ci_u","lower_ci_beta","upper_ci_beta","lower_ci_beta95","upper_ci_beta95","normal_mean_beta","sic_combined","sic_name"
"1",113,0.0544444444444444,0.024016872058551,0.0263166016975722,0.0131583008487861,0.986841699151214,2.26692486480811,1.41097065671821,0.0338871017407711,0.593419726748222,2.60955257535864,0.0142520856543324,0.0626732903324508,0.0109710299641264,0.0737724865344758,0.031182573464576,80,"Health services"
"2",74,0.0786666666666666,0.0248526842409124,0.00194948006366641,0.000974740031833204,0.999025259968167,3.16531871986551,2.00312467566054,0.0497830250593716,0.812216568444958,4.14753427723667,0.0201857619108,0.103077359770524,0.0166578955058901,0.112997826202376,0.039146708930092,55,"Auto dealers / services"
"3",58,0.0427170868347339,0.0170487916313851,0.0135882291464453,0.00679411457322264,0.993205885426777,2.50557856288747,1.51766789629913,0.0258744037296465,0.644650206755263,2.9425506954044,0.0109905070500998,0.050166933670737,0.00864319676953213,0.0587919342365438,0.0310819943194053,53,"General merchandise"
"4",30,0.0141129032258064,0.0171429077343585,0.41195899920723,0.205979499603615,0.794020500396385,0.823250258619824,1.02944714192632,0.017647717371442,0.329796215045325,1.77278806857697,0.00565366608566266,0.0303907422921867,0.00364103414578275,0.0337573266279858,0.0157404536999622,48,"Communications"
"5",33,-0.00813008130081301,0.00494451365594517,0.102696340632001,0.948651829684,0.0513481703160004,-1.64426308966456,0.630630140424638,0.00311815934118025,0.0821822283446279,1.26795438017426,0.000406351150326017,0.00626941774788712,0.000205814218996294,0.00691852413087543,-0.00638780027182505,80,"Health services"
"6",122,0.0155555555555555,0.0219023525307149,0.479798092156257,0.239899046078129,0.760100953921871,0.710223047215641,1.00755277139371,0.0220677759923638,0.311652086709498,1.74076901857257,0.00682591387004434,0.038126936719323,0.00434801362954879,0.0422645625926033,0.0167598246731269,51,"Wholesale nondurable"
"7",123,0.0217391304347826,0.0152584393398743,0.158809278021059,0.0794046390105294,0.920595360989471,1.42472830612319,1.15797747336865,0.0176689290343365,0.431189873392593,1.98624840193964,0.00657928452712897,0.0303070507549183,0.00460875624053836,0.0343132487590612,0.0200490246101856,49,"Electric / gas"
"8",98,-0.000833333333333335,0.0123373253162748,0.946283507564663,0.526858246217669,0.473141753782331,-0.0675457047593647,0.868678978004005,0.0107171751470446,0.205989221694976,1.55505852854705,0.00254135603969718,0.0191852629525326,0.00146160891402273,0.0211209071900222,0.00490727779044847,42,"Freight / transport"
"9",107,0.00308641975308641,0.0172880837209939,0.858759088996927,0.429379544498463,0.570620455501537,0.17852873707098,0.910739545119035,0.0157449415040378,0.23587366836575,1.60949091355453,0.00407780372628503,0.0278250136617096,0.00241715967485674,0.0306481085491377,0.00991400178794243,51,"Wholesale nondurable"
"10",49,-0.0169753086419753,0.0134161166851735,0.208515056425912,0.895742471787044,0.104257528212956,-1.26529226305367,0.683056855883865,0.00916397048114566,0.102460960014081,1.33092517851625,0.00137462819522381,0.0178558474942093,0.000715952185012402,0.0196743660441408,-0.00492849249774625,75,"Auto / repair services"
"11",118,0.0266666666666667,0.018117070078471,0.145285912436143,0.0726429562180713,0.927357043781929,1.47190834672299,1.16922872841478,0.0211829988104521,0.4397282867271,2.00759443527591,0.00796658818612084,0.036371729073042,0.00562688631592516,0.0412638329834512,0.0221933929164033,50,"Wholesale durable"
"12",120,0.0445736434108527,0.0292629241677161,0.135200358546268,0.067600179273134,0.932399820726866,1.5232122106248,1.18172288793494,0.0345806672568946,0.44933400172842,2.03214237361262,0.0131488268185552,0.0594664281770285,0.00933847795427076,0.0676180761571779,0.0252158237114384,51,"Wholesale nondurable"
"13",114,-0.0233333333333333,0.0165582056447604,0.162973290621183,0.918513354689409,0.0814866453105913,-1.40917040372167,0.66278774768171,0.0109745758249413,0.0939225466795747,1.30637724017954,0.0015551888426,0.0216312629925273,0.000812939622268184,0.0238580106535228,-0.0049585064760714,80,"Health services"
